event,name
13,R1 C
13,R1 D
13,R1 E
13,R2 A
13,R2 B
13,R2 C
13,R2 D
13,R2 E
13,R3 A
13,R3 B
13,R3 C
13,R3 D
13,R3 E
13,Elim A
13,Elim B
13,Elim C
13,Elim D
13,Semi A
13,Semi B
13,Finals
14,R1 T1
14,R1 T2
14,R1 T3
14,R1 T4
14,R2 T1
14,R2 T2
14,R2 T3
14,R2 T4
14,R3 T1
14,R3 T2
14,R3 T3
14,R3 T4
14,R4 T1
14,R4 T2
14,R4 T3
14,R4 T4
14,R5 T1
14,R5 T2
14,R5 T3
14,R5 T4
14,R6 T1
14,R6 T2
14,R6 T3
14,R6 T4
14,Finals 1
14,Finals 2
14,Finals 3
15,A1
15,A2
15,A3
15,B1
15,B2
15,B3
15,C1
15,C2
15,C3
15,D1
15,D2
15,D3
15,E1
15,E2
15,E3
15,F1
15,F2
15,F3
15,G1
15,G2
15,G3
15,H1
15,H2
15,H3
15,I1
15,I2
15,I3
15,J1
15,J2
15,J3
15,K1
15,K2
15,K3
15,L1
15,L2
15,L3
15,M1
15,M2
15,M3
15,N1
15,N2
15,N3
15,O1
15,O2
15,O3
15,P1
15,P2
15,P3
15,Q1
15,R1
15,R2
15,R3
15,Semi A1
15,Semi A2
15,Semi A3
15,Semi B1
15,Semi B2
15,Semi C1
15,Semi C2
15,Semi C3
15,Finals 1
15,Finals 2
15,Finals 3
16,T1 G1
16,T1 G2
16,T1 G3
16,T1 G4
16,T1 G5
16,T1 G6
16,T1 G7
16,T1 G8
16,T1 G9
16,T1 G10
16,T1 G11
16,T1 G12
16,T1 G13
16,T1 G14
16,T1 G15
16,T1 G16
16,T1 G17
16,T1 G18
16,T1 G19
16,T1 G20
16,T1 G21
16,T1 G22
16,T1 G23
16,T1 G24
16,T1 G25
16,T1 G26
16,T1 G27
16,T1 G28
16,T1 G29
16,T1 G30
16,T1 G31
16,T1 G32
16,T1 G33
16,T1 G34
16,T1 G35
16,T1 G36
16,T1 G37
16,T1 G38
16,T1 G39
16,T1 G40
16,T1 G41
16,T1 G42
16,T1 G43
16,T1 G44
16,T1 G45
16,T1 G46
16,T1 G47
16,T1 G48
16,T1 G49
16,T1 G50
16,T1 G51
16,T1 G52
16,T1 G53
16,T1 G54
16,T1 G55
16,T1 G56
16,T1 G57
16,T1 G58
16,T1 G59
16,T1 G60
16,T1 G61
16,T1 G62
16,T1 G63
16,T1 G64
16,T1 G65
16,T1 G66
16,T1 G67
16,T1 G68
16,T1 G69
16,T1 G70
16,T1 G71
16,T1 G72
16,T1 G73
16,T1 G74
16,T1 G75
16,T1 G76
16,T1 G77
16,T1 G78
16,T1 G79
16,T1 G80
16,T1 G81
16,T1 G82
16,T1 G83
16,T1 G84
16,T2 G1
16,T2 G2
16,T2 G3
16,T2 G4
16,T2 G5
16,T2 G6
16,T2 G7
16,T2 G8
16,T2 G9
16,T2 G10
16,T2 G11
16,T2 G12
16,T2 G13
16,T2 G14
16,T2 G15
16,T2 G16
16,T3 G1
16,T3 G2
16,T3 G3
16,T3 G4
16,T3 G5
16,T3 G6
16,T3 G7
16,T3 G8
16,T3 G9
16,T3 G10
16,T3 G11
16,T3 G12
16,T3 G13
16,T3 G14
16,T3 G15
16,T3 G16
16,T3 G17
16,T3 G18
16,T3 G19
16,T3 G20
16,T3 G21
16,T3 G22
16,T3 G23
16,T3 G24
16,T3 G25
16,T3 G26
16,T3 G27
16,T3 G28
16,T3 G29
16,T3 G30
16,T3 G31
16,T3 G32
16,T3 G33
16,T3 G34
16,T3 G35
16,T3 G36
16,T3 G37
16,T3 G38
16,T3 G39
16,T3 G40
16,T3 G41
16,T3 G42
17,R1 T1
17,R1 T2
17,R1 T3
17,R1 T4
17,R2 T1
17,R2 T2
17,R2 T3
17,R2 T4
17,R3 T1
17,R3 T2
17,R3 T3
17,R3 T4
17,R4 T1
17,R4 T2
17,R4 T3
17,R4 T4
17,R5 T1
17,R5 T2
17,R5 T3
17,R5 T4
17,R6 T1
17,R6 T2
17,R6 T3
17,R6 T4
17,R7 T1
17,R7 T2
17,Finals 1
17,Finals 2
17,Finals 3
19,R1 A1
19,R1 A2
19,R1 B1
19,R1 B2
19,R1 C1
19,R1 C2
19,R1 D1
19,R1 D2
19,R1 E1
19,R1 E2
19,R1 F1
19,R1 F2
19,R1 G1
19,R1 G2
19,R2 A1
19,R2 A2
19,R2 B1
19,R2 B2
19,R2 C1
19,R2 C2
19,R2 D1
19,R2 D2
19,R2 E1
19,R2 E2
19,R2 F1
19,R2 F2
19,R3 A1
19,R3 A2
19,R3 B1
19,R3 B2
19,R3 C1
19,R3 C2
19,R3 D1
19,R3 D2
19,R3 E1
19,R3 E2
19,R3 F1
19,R3 F2
19,R4 A1
19,R4 A2
19,R4 B1
19,R4 B2
19,R4 C1
19,R4 C2
19,R4 D1
19,R4 D2
19,R4 E1
19,R4 E2
19,R4 F1
19,R4 F2
19,Semi A1
19,Semi A2
19,Semi B1
19,Semi B2
19,Semi C1
19,Semi C2
19,Play-in
19,Finals
20,R1 H1
20,R1 H2
20,R1 I1
20,R1 I2
20,R1 J1
20,R1 J2
20,R1 Z1
20,R1 Z2
20,R2 H1
20,R2 H2
20,R2 I1
20,R2 I2
20,R2 J1
20,R2 J2
20,R2 Z1
20,R2 Z2
20,R3 H1
20,R3 H2
20,R3 J1
20,R3 J2
20,R3 Z1
20,R3 Z2
20,R4 H1
20,R4 H2
20,R4 I1
20,R4 I2
20,R4 J1
20,R4 J2
20,Finals
18,T1
18,T1
18,T1
18,T1
18,T1
18,T1
18,T1
18,T1
18,T1
18,T1
18,T1
18,T1
18,T1
18,T1
18,T1
18,T1
18,T1
18,T1
18,T1
18,T1
18,T1
18,T1
18,T1
18,T1
18,T1
18,T1
18,T1
18,T1
18,T1
18,T1
18,T1
18,T1
18,T1
18,T1
18,T1
18,T1
18,T1
18,T1
18,T1
18,T1
18,T1
18,T1
18,T1
18,T1
18,T1
18,T1
18,T1
18,T1
18,T1
18,T1
18,T1
18,T1
18,T1
18,T1
18,T1
18,T1
18,T1
18,T1
18,T1
18,T1
18,T1
18,T1
18,T1
18,T1
18,T1
18,T1
18,T1
18,T1
18,T1
18,T1
18,T1
18,T1
18,T1
18,T1
18,T1
18,T1
18,T1
18,T1
18,T1
18,T1
18,T1
18,T1
18,T1
18,T1
18,T2 G1
18,T2 G2
18,T2 G3
18,T2 G4
18,T2 G5
18,T2 G6
18,T2 G7
18,T2 G8
18,T2 G9
18,T2 G10
18,T2 G11
18,T2 G12
18,T2 G13
18,T2 G14
18,T2 G15
18,T2 G16
18,T2 G17
18,T2 G18
18,T2 G19
18,T2 G20
18,T2 G21
18,T2 G22
18,T2 G23
18,T2 G24
18,T2 G25
18,T2 G26
18,T2 G27
18,T2 G28
18,T2 G29
18,T2 G30
18,T2 G31
18,T2 G32
18,T2 G33
18,T2 G34
18,T2 G35
18,T2 G36
18,T2 G37
18,T2 G38
18,T2 G39
18,T2 G40
18,T2 G41
18,T2 G42
18,T2 G43
18,T2 G44
18,T2 G45
18,T2 G46
18,T2 G47
18,T2 G48
18,T2 G49
18,T2 G50
18,T3 G1
18,T3 G2
18,T3 G3
18,T3 G4
18,T3 G5
18,T3 G6
18,T3 G7
18,T3 G8
18,T3 G9
18,T3 G10
18,T3 G11
18,T3 G12
18,T3 G13
18,T3 G14
18,T3 G15
18,T3 G16
18,T3 G17
18,T3 G18
18,T3 G19
18,T3 G20
18,T3 G21
18,T3 G22
18,T3 G23
18,T3 G24
18,T3 G25
18,T3 G26
18,T3 G27
18,T3 G28
18,T3 G29
18,T3 G30
18,T3 G31
18,T3 G32
18,T3 G33
18,T3 G34
18,T3 G35
18,T3 G36
18,T3 G37
18,T3 G38
18,T3 G39
18,T3 G40
18,T3 G41
18,T3 G42
18,T3 G43
18,T3 G44
18,T3 G45
18,T3 G46
18,T3 G47
18,T3 G48
18,T3 G49
18,T3 G50
18,T3 G51
18,T3 G52
18,T3 G53
18,T3 G54
18,T3 G55
18,T3 G56
18,T3 G57
18,T3 G58
18,T3 G59
18,T3 G60
18,T3 G61
18,T3 G62
