id,created_at,username,current_rating
58,2024-04-01 19:55:51.4348+00,oh_bob_saget,"{""mu"": 15.030384676922584, ""sigma"": 5.848910966108242, ""ordinal"": 1139.6076426863485}"
59,2024-04-01 19:55:51.4348+00,phyphor,"{""mu"": 12.365527880561936, ""sigma"": 7.514153238401356, ""ordinal"": 955.7536359685889}"
60,2024-04-01 19:55:51.4348+00,milton,"{""mu"": 22.498589491626454, ""sigma"": 7.342815850096846, ""ordinal"": 1211.283406592062}"
61,2024-04-01 19:55:51.4348+00,tomeleoon,"{""mu"": 33.32304865621323, ""sigma"": 4.142251652351088, ""ordinal"": 1701.5110487798393}"
62,2024-04-01 19:55:51.4348+00,Timemyth,"{""mu"": 14.260550321025159, ""sigma"": 7.5949075221294615, ""ordinal"": 995.4198661112825}"
63,2024-04-01 19:55:51.4348+00,Dinkaflicka,"{""mu"": 25, ""sigma"": 8.333333333333334, ""ordinal"": 1200}"
64,2024-04-01 19:55:51.4348+00,Hugu,"{""mu"": 27.05657844741704, ""sigma"": 3.215414814649743, ""ordinal"": 1617.8480160832273}"
65,2024-04-01 19:55:51.4348+00,double clutch,"{""mu"": 23.05788684363124, ""sigma"": 7.011892930468877, ""ordinal"": 1248.5329932533907}"
66,2024-04-01 19:55:51.4348+00,KingDaDaDog,"{""mu"": 26.98743824292298, ""sigma"": 7.141935483484017, ""ordinal"": 1333.4791630193024}"
67,2024-04-01 19:55:51.4348+00,daveedojr,"{""mu"": 26.166118920254316, ""sigma"": 7.073307286283423, ""ordinal"": 1318.708729473697}"
68,2024-04-01 19:55:51.4348+00,3dsam1,"{""mu"": 21.506712807307267, ""sigma"": 4.679418080344876, ""ordinal"": 1379.2430055905434}"
69,2024-04-01 19:55:51.4348+00,Marspivak,"{""mu"": 27.696793685539756, ""sigma"": 7.560416912491025, ""ordinal"": 1320.3730307536002}"
70,2024-04-01 19:55:51.4348+00,bigner,"{""mu"": 26.086240317026643, ""sigma"": 7.3964593767393545, ""ordinal"": 1293.524692483406}"
71,2024-04-01 19:55:51.4348+00,snnaale43,"{""mu"": 15.922512740941919, ""sigma"": 5.838737086542529, ""ordinal"": 1161.751235551544}"
72,2024-04-01 19:55:51.4348+00,LordFrank,"{""mu"": 24.884418726858787, ""sigma"": 8.072714223674087, ""ordinal"": 1215.9906253400766}"
73,2024-04-01 19:55:51.4348+00,Reyl,"{""mu"": 25.065087451675726, ""sigma"": 7.327667673179583, ""ordinal"": 1273.9700263712875}"
74,2024-04-01 19:55:51.4348+00,Paju,"{""mu"": 29.505624525460565, ""sigma"": 7.384038552256122, ""ordinal"": 1376.4842128486127}"
75,2024-04-01 19:55:51.4348+00,GM,"{""mu"": 14.80925571264349, ""sigma"": 7.213912936297422, ""ordinal"": 1036.0204056900293}"
