game,player,ranking,updated_rating
32,176,1,"{""mu"": 33.472150730493944, ""sigma"": 7.7536428773636334, ""ordinal"": 1445.069330361673}"
32,1,2,"{""mu"": 23.279272761005252, ""sigma"": 7.544978605251823, ""ordinal"": 1215.4640866859947}"
32,146,3,"{""mu"": 16.799494559118475, ""sigma"": 7.510787698013851, ""ordinal"": 1062.4111551618462}"
32,73,4,"{""mu"": 26.2186282314016, ""sigma"": 7.6719782480993866, ""ordinal"": 1276.8646436904826}"
33,99,1,"{""mu"": 33.8055073295761, ""sigma"": 7.874521202966206, ""ordinal"": 1444.3666492962595}"
33,38,2,"{""mu"": 17.545864295512317, ""sigma"": 7.56708362732067, ""ordinal"": 1076.2707219252075}"
33,42,3,"{""mu"": 24.531438924783245, ""sigma"": 7.65889688578494, ""ordinal"": 1237.3139584182823}"
33,164,4,"{""mu"": 15.841191067385365, ""sigma"": 7.466978966050022, ""ordinal"": 1042.5661000616471}"
34,93,1,"{""mu"": 30.084916909786234, ""sigma"": 7.617808665221883, ""ordinal"": 1373.5557819388941}"
34,120,2,"{""mu"": 32.063449010266986, ""sigma"": 7.843584897737796, ""ordinal"": 1404.7846636092863}"
34,57,3,"{""mu"": 18.58188553389502, ""sigma"": 7.519689719625151, ""ordinal"": 1104.5475930004695}"
34,59,4,"{""mu"": 12.365527880561936, ""sigma"": 7.514153238401356, ""ordinal"": 955.7536359685889}"
35,174,1,"{""mu"": 27.565675423167487, ""sigma"": 7.5217617617271415, ""ordinal"": 1320.0093633116655}"
35,171,2,"{""mu"": 31.47324613643943, ""sigma"": 7.681821123129816, ""ordinal"": 1402.2667864091995}"
35,110,3,"{""mu"": 23.159963717821153, ""sigma"": 7.490309907462682, ""ordinal"": 1216.5368158903946}"
36,117,1,"{""mu"": 24.34407515129456, ""sigma"": 7.770482749881906, ""ordinal"": 1224.7830456395723}"
36,37,2,"{""mu"": 32.656990326587085, ""sigma"": 7.8108710032366115, ""ordinal"": 1421.385055605054}"
36,122,3,"{""mu"": 24.467987595171603, ""sigma"": 7.555923156052524, ""ordinal"": 1243.2052350483368}"
37,5,1,"{""mu"": 28.68003180944718, ""sigma"": 7.507848897522529, ""ordinal"": 1347.7556428051103}"
37,148,2,"{""mu"": 28.234098184611003, ""sigma"": 7.758118494444192, ""ordinal"": 1319.0338248306823}"
38,169,1,"{""mu"": 31.396486163275632, ""sigma"": 7.754091342846212, ""ordinal"": 1395.221091233688}"
38,101,2,"{""mu"": 30.388277487797005, ""sigma"": 7.714341565751475, ""ordinal"": 1373.886066973022}"
38,15,3,"{""mu"": 19.609921566696652, ""sigma"": 7.549848418052256, ""ordinal"": 1127.0490315009572}"
